Name,Firma,Telefon,E-Mail,Gewerk,Notiz
Thomas Huber,Huber Sanitaer und Heizung GmbH,+43 664 111 2233,tradingworld@gmx.at,"wasserschaden,heizung,sanitaer",Wasserschaden / Rohrbruch / Heizungsausfall
Klaus Brandner,Elektro Brandner eU,+43 664 222 3344,tradingworld@gmx.at,elektrik,Elektroschaden / Kurzschluss / Lichtausfall
Maria Fuchs,Fuchs Bau und Sanierung KG,+43 664 333 4455,tradingworld@gmx.at,"schimmel,boeden_waende",Schimmelbefall / Bodenbelag / Risse
Peter Weinberger,Weinberger Fenster und Tueren GmbH,+43 664 444 5566,tradingworld@gmx.at,fenster_tueren,Fensterschaden / Tuerschloss / Verglasung
Josef Reiter,Reiter Maler und Lackierer,+43 664 555 6677,tradingworld@gmx.at,boeden_waende,Wandschaden / Farbabplatzung / Feuchtigkeitsflecken
Ernst Kaltenbrunner,Kaltenbrunner Dachdeckerei GmbH,+43 664 666 7788,tradingworld@gmx.at,aussenbereich,Undichtes Dach / Dachrinnenschaden / Fassade
Carmen Schieder,Schieder Schaedlingsbekaempfung,+43 664 777 8899,tradingworld@gmx.at,sonstiges,Schaedlingsbefall / Ungeziefer
Ludwig Forster,Forster Aufzugstechnik OG,+43 664 888 9900,tradingworld@gmx.at,sonstiges,Aufzugausfall / Liftschloss
Barbara Haas,Haas Reinigung und Hausbetreuung,+43 664 999 0011,tradingworld@gmx.at,sonstiges,Kellerschaden / Gemeinschaftsbereiche
Hans Gruber,Allround Service Gruber,+43 664 100 1122,tradingworld@gmx.at,"wasserschaden,heizung,elektrik,fenster_tueren,schimmel,sanitaer,boeden_waende,aussenbereich,sonstiges",Allround fuer alle Schaeden
